0;1;2;3;4;5;Code ES
1;0;0;0;0;0;700125
1;0;0;0;0;0;701581
0;0;0;1;0;0;700398
0;1;0;0;0;0;700450
0;0;0;1;0;0;700044
0;0;1;0;0;0;701927
0;0;0;1;0;0;700342
0;0;0;0;0;1;700836
1;0;0;0;0;0;701674
0;0;0;1;0;0;700371
1;0;0;0;0;0;700718
0;0;0;1;0;0;700882
0;1;0;0;0;0;700403
1;0;0;0;0;0;700049
1;0;0;0;0;0;700191
0;1;0;0;0;0;700474
0;0;1;0;0;0;701660
0;1;0;0;0;0;700163
0;0;0;0;1;0;702248
0;1;0;0;0;0;700052
0;0;0;1;0;0;700382
0;0;0;0;1;0;701273
0;0;0;1;0;0;700386
0;0;0;0;0;1;700462
0;0;0;0;0;1;700388
1;0;0;0;0;0;701522
0;1;0;0;0;0;700060
0;0;1;0;0;0;700975
0;0;0;0;0;1;700414
0;0;0;0;0;1;700062
0;0;0;0;0;1;701253
1;0;0;0;0;0;702058
0;0;0;0;0;1;700393
1;0;0;0;0;0;701163
1;0;0;0;0;0;700798
0;0;0;1;0;0;701514
0;0;0;0;0;1;700392
0;0;0;0;0;1;701653
1;0;0;0;0;0;700067
0;0;0;0;0;1;700390
0;1;0;0;0;0;701975
0;1;0;0;0;0;700897
0;1;0;0;0;0;700144
0;0;0;0;0;1;700641
0;0;1;0;0;0;701379
0;1;0;0;0;0;700071
0;0;1;0;0;0;701731
0;1;0;0;0;0;700318
1;0;0;0;0;0;700198
0;1;0;0;0;0;700843
1;0;0;0;0;0;700383
0;1;0;0;0;0;700075
0;1;0;0;0;0;700117
0;0;0;0;0;1;700672
0;0;0;0;1;0;700402
0;0;0;0;1;0;700405
0;1;0;0;0;0;700661
0;0;0;0;1;0;701147
0;0;0;0;1;0;700605
0;0;1;0;0;0;701981
0;0;0;0;1;0;700346
0;0;0;0;0;1;702181
1;0;0;0;0;0;700082
0;0;0;0;1;0;700895
0;0;1;0;0;0;701059
1;0;0;0;0;0;700086
0;0;0;0;1;0;701210
0;1;0;0;0;0;700234
1;0;0;0;0;0;701206
0;0;1;0;0;0;700914
0;0;1;0;0;0;702229
0;0;0;0;1;0;700088
0;0;0;0;1;0;702096
1;0;0;0;0;0;700415
1;0;0;0;0;0;700771
0;0;1;0;0;0;701846
0;0;0;0;1;0;700444
0;1;0;0;0;0;701171
0;0;1;0;0;0;700106
0;0;0;1;0;0;701655
1;0;0;0;0;0;700409
0;1;0;0;0;0;700947
0;0;1;0;0;0;701760
1;0;0;0;0;0;700441
1;0;0;0;0;0;701345
1;0;0;0;0;0;700495
1;0;0;0;0;0;700458
1;0;0;0;0;0;700103
1;0;0;0;0;0;700356
0;1;0;0;0;0;701985
0;1;0;0;0;0;700400
0;0;0;0;0;1;701977
1;0;0;0;0;0;700107
0;1;0;0;0;0;700438
0;0;0;0;0;1;700300
0;0;1;0;0;0;700109
0;0;0;0;0;1;701410
0;0;0;0;1;0;700265
0;0;0;1;0;0;702071
0;0;0;0;0;1;700401
1;0;0;1;0;0;701870
0;1;0;0;0;0;700116
0;0;0;0;1;0;700487
0;0;1;0;0;0;701325
1;0;0;0;0;0;700118
0;0;0;0;1;0;702226
1;0;0;0;0;0;700119
0;1;0;0;0;0;701457
0;1;0;0;0;0;700280
0;0;1;0;0;0;702017
0;0;0;0;1;0;701222
0;0;1;0;0;0;701700
0;0;0;0;0;1;700369
1;0;0;0;0;0;700286
1;0;0;0;0;0;701292
1;0;0;0;0;0;700126
0;1;0;0;0;0;700558
0;0;0;0;0;1;700240
0;0;0;0;0;1;700128
1;0;0;0;0;0;700862
0;0;0;0;0;1;701364
1;0;0;0;0;0;700454
0;0;1;0;0;0;701678
0;1;0;0;0;0;700137
0;0;0;1;0;0;701341
0;0;1;0;0;0;700515
1;0;0;0;0;0;700954
0;0;0;0;1;0;700138
0;0;1;0;0;0;700422
1;0;0;0;0;0;700418
0;0;1;0;0;0;702178
0;0;1;0;0;0;700139
0;1;0;0;0;0;700865
0;0;1;0;0;0;700381
1;0;0;0;0;0;700360
1;0;0;0;0;0;700141
0;0;1;0;0;0;701039
1;0;0;0;0;0;700142
0;0;0;0;1;0;701160
0;0;0;0;0;1;701087
1;0;0;0;0;0;700639
0;1;0;0;0;0;700167
0;0;0;0;1;0;700148
0;0;1;0;0;0;700903
0;0;1;0;0;0;701932
0;0;1;0;0;0;700442
0;0;1;0;0;0;701418
0;1;0;0;0;0;700682
0;0;1;0;0;0;701933
0;0;1;0;0;0;700301
1;0;0;0;0;0;700763
0;0;1;0;0;0;700910
0;0;0;1;0;0;700170
0;0;0;1;0;0;700183
0;0;0;0;1;0;701148
1;0;0;0;0;0;700359
0;0;1;0;0;0;700407
0;1;0;0;0;0;700242
0;0;0;0;0;1;700158
0;0;1;0;0;0;701573
0;0;0;1;0;0;700159
0;0;1;0;0;0;700446
0;1;0;0;0;0;700164
0;0;1;0;0;0;700217
0;0;1;0;0;0;700339
0;0;0;0;1;0;701910
1;0;0;0;0;0;700165
0;1;0;0;0;0;700691
0;0;0;0;1;0;702042
0;0;1;0;0;0;700413
0;0;1;0;0;0;701609
1;0;0;0;0;0;700506
0;0;1;0;0;0;700168
0;0;1;0;0;0;701346
1;0;0;0;0;0;701348
0;0;0;0;1;0;700916
0;0;0;0;1;0;701399
0;1;0;0;0;0;700174
1;0;0;0;0;0;701383
0;0;1;0;0;0;700430
0;0;0;0;1;0;701201
0;0;0;1;0;0;700284
0;0;1;0;0;0;700448
0;1;0;0;0;0;701320
1;0;0;0;0;0;700408
0;0;1;0;0;0;701437
1;0;0;0;0;0;700542
0;0;1;0;0;0;702036
1;0;0;0;0;0;700775
1;0;0;0;0;0;700363
0;1;0;0;0;0;700186
0;1;0;0;0;0;700423
0;1;0;0;0;0;700254
0;0;0;0;1;0;701386
0;1;0;0;0;0;700764
0;0;1;0;0;0;701275
1;0;0;0;0;0;701393
0;1;0;0;0;0;700192
0;0;0;0;0;1;701541
0;0;1;0;0;0;700470
1;0;0;0;0;0;700765
0;0;0;1;0;0;700194
0;0;0;0;1;0;700951
0;1;0;0;0;0;701717
0;0;1;0;0;0;700814
0;0;0;0;1;0;701095
0;0;1;0;0;0;700196
0;0;1;0;0;0;700704
0;0;0;0;1;0;701368
0;0;0;0;1;0;700199
0;0;0;0;1;0;700552
0;0;0;0;1;0;700200
0;0;1;0;0;0;700840
0;1;0;0;0;0;700502
0;1;0;0;0;0;700345
0;1;0;0;0;0;700735
1;0;0;0;0;0;700206
0;1;0;0;0;0;701217
1;0;0;0;0;0;700207
0;0;0;0;1;0;700449
0;0;1;0;0;0;700347
0;0;1;0;0;0;700599
1;0;0;0;0;0;700213
0;0;0;1;0;0;700887
0;0;0;0;1;0;700688
0;1;0;0;0;0;700215
0;0;0;1;0;0;701896
0;0;1;0;0;0;701317
0;0;1;0;0;0;700338
0;0;0;0;1;0;701438
0;0;0;0;1;0;700813
0;0;1;0;0;0;700705
0;0;0;1;0;0;701031
0;0;0;0;1;0;700220
0;0;1;0;0;0;701068
0;0;1;0;0;0;700324
0;0;0;0;1;0;700459
0;0;0;0;1;0;700773
0;1;0;0;0;0;701465
0;0;1;0;0;0;700227
0;1;0;0;0;0;702086
1;0;0;0;0;0;700544
1;0;0;0;0;0;701990
0;0;0;1;0;0;700563
0;0;0;1;0;0;702112
1;0;0;0;0;0;700232
