Ait boubidmane;0;0;0;0;1;0
Amalou ighriben;0;0;1;0;0;0
Azrou;1;0;0;0;0;0
Boumia;0;0;0;1;0;0
El kbab;0;0;1;0;0;0
Had bouhssoussen;0;0;1;0;0;0
Had oued ifrane;1;0;0;0;0;0
Haj kaddour;0;1;0;0;0;0
Itzer;0;0;0;1;0;0
Kehf nsour;0;0;1;0;0;0
Kerrouchen;0;0;1;0;0;0
Khénifra;0;0;1;0;0;0
M'rirt;0;0;1;0;0;0
Ouislane;1;1;1;1;1;1
Sabaa aiyoun;0;1;0;0;0;0
Sebt jahjouh;0;0;0;0;0;1
Sidi addi;1;0;0;0;0;0
Sidi ali ban hamdouche;0;1;0;0;0;0
Tighassaline;0;0;1;0;0;0
Tighza;0;0;1;0;0;0
Timahdite;0;0;0;1;0;0
Toulal;1;1;1;1;1;1
Tounfite;0;0;0;1;0;0
Zaida;0;0;0;1;0;0
Boufakrane;1;0;0;1;0;0
Adarouche;0;0;1;0;0;0
Ait yaazem;0;0;0;0;0;1
Sebaa aioun;0;1;0;0;0;0
El borj;0;0;1;0;0;0
Bouderbala;0;0;0;0;1;0
Ait yaazem;0;0;0;0;0;1
Mejjat;1;0;0;1;0;0
Bni ammar;0;1;0;0;0;0
Oued jdida;0;0;0;0;1;0
Dkhissa;0;1;0;0;0;0
Kaf n'sour;0;0;1;0;0;0
Tigrigra;1;0;0;0;0;0
Garrouma;0;0;0;1;0;0
Ain khadem;1;0;0;0;0;0
Sidi slimane moule el kifane;0;1;0;0;0;0
Ait ayach;0;0;0;1;0;0
Ain aghbal;1;0;0;0;0;0
Ait ouallal;0;0;0;0;0;1
Agence errachidia;1;1;1;1;1;1
Bitit;0;0;0;0;1;0
El haj kaddour;0;1;0;0;0;0
Ain el orma;0;1;0;0;0;0
Mohammédia;1;1;1;1;1;1
Bouznika;0;0;0;1;0;0
Ben yakhlef;1;1;1;1;1;1
Benslimane;1;0;0;0;0;0
El mansouria;0;0;0;1;0;0
Fedalate;1;0;0;0;0;0
Dar el ghazouani;1;0;0;0;0;0
Jamaat fadilat;1;0;0;0;0;0
Sidi bettache;1;0;0;0;0;0
Douar oulad saada;1;0;0;0;0;0
Sidi moussa ben ali;1;0;0;0;0;0
Chellalate;1;0;0;0;0;0
Ain tekki;1;0;0;0;0;0
Sidi moussa el majdoub;1;0;0;0;0;0
Ain tizghi;1;0;0;0;0;0
Nador;1;1;1;1;1;1
Zaio;0;1;0;0;0;0
Zeghanghane;1;1;1;1;1;1
Boudinar;1;0;0;1;0;0
Al aroui;1;0;0;1;0;0
Ben taieb;1;0;0;1;0;0
Beni chiker;0;0;1;0;0;0
Beni ensar;0;0;1;0;0;0
Dar el kebdani;1;0;0;1;0;0
Driouch;1;0;0;1;0;0
Farkhana;0;0;1;0;0;0
Ihddaden;1;1;1;1;1;1
Jaadar;1;1;1;1;1;1
Kariat arekmane;0;1;0;0;0;0
Kassita;1;0;0;1;0;0
Kerouna;1;0;0;1;0;0
Midar;1;0;0;1;0;0
Ras el ma;0;1;0;0;0;0
Selouane;1;0;0;1;0;0
Tafersit;1;0;0;1;0;0
Tiztoutine;1;0;0;1;0;0
Touima;1;1;1;1;1;1
Ain zohra;1;0;0;1;0;0
Beni sidel louta;1;0;0;1;0;0
Iaazanene;1;1;1;1;1;1
Ifarni;1;0;0;1;0;0
Tafersit;1;0;0;1;0;0
Beni sidal jbel;1;0;0;1;0;0
